Word	Romanised Word	Pronunciation	Variant Number	Comments
দা	dA2	d a	0	
দাউন	dA2Un	d a u n	0	
দাখন-	dA2Kn-	d a . K O n	0	
দাগ	dA2g	d a g	0	
দাঙি	dA2NI2	d a N . i	0	
দাদা	dA2dA2	d a . d a	0	
দাদাহঁত	dA2dA2hMt	d a . d a . h O ~ t	0	
দাদাহঁতক	dA2dA2hMtk	d a . d a . h O ~ t O k	0	
দাদাহঁতে	dA2dA2hMte2	d a . d a . h O ~ t E	0	
দাদাৰ	dA2dA2r	d a . d a r	0	
দাম	dA2m	d a m	0	
দালি	dA2lI2	d a . l i	0	
দাস	dA2s	d a x	0	
দায়িত্বত	dA2yI2t+bt	d a . j i t . t O t	0	
দি	dI2	d i	0	
দিওঁ	dI2oM	d i u ~	0	
দিখৌৰ	dI2Ko4r	d i . K ou r	0	
দিগদাৰ	dI2gdA2r	d i g  . d a r	0	
দিগদাৰি	dI2gdA2rI2	d i g . d a . r i	0	
দিগদাৰিও	dI2gdA2rI2o	d i . g  . d a . r i u	0	
দিগন্ত	dI2gn+t	d i . g O n .  t O	0	
দিচাও	dI2cA2o	d i . s a U	0	
দিছপুৰ	dI2CpU2r	d i  s  . p u r	0	
দিছা	dI2CA2	d i . s a	0	
দিছানা	dI2CA2nA2	d i . s a . n a	0	
দিছিল	dI2CI2l	d i . s i l	0	
দিছিলনে	dI2CI2lne2	d i . s i  l  . n E	0	
দিছিলে	dI2CI2le2	d i . s i . l E	0	
দিছিলো	dI2CI2lo2	d i . s i . l u	0	
দিছে	dI2Ce2	d i . s E	0	
দিছো	dI2Co2	d i . s u	0	
দিছোঁ	dI2Co2M	d i . s U ~	0	
দিন	dI2n	d i n	0	
দিন-	dI2n-	d i n	0	
দিনটো	dI2nt`o2	d i n  . t u	0	
দিনত	dI2nt	d i . n O t	0	
দিনা	dI2nA2	d i . n a	0	
দিনাখন	dI2nA2Kn	d i . n a . K O n	0	
দিনৰ	dI2nr	d i . n O r	0	
দিপালীক	dI2pA2li2k	d i . p a . l i k	0	
দিব	dI2b	d i . b O	0	
দিবও	dI2bo	d i . b O	0	
দিবনে	dI2bne2	d i . b O . n E	0	
দিবলে	dI2ble2	d i . b o . l e	0	
দিবলৈ	dI2ble4	d i . b o . l oi	0	
দিবা	dI2bA2	d i . b a	0	
দিবাচোন	dI2bA2co2n	d i . b a . s U n	0	
দিবি	dI2bI2	d i . b i	0	
দিবৰ	dI2br	d i . b O r	0	
দিম	dI2m	d i m	0	
দিমতো	dI2mto2	d i m  . t u	0	
দিলি	dI2lI2	d i . l i	0	
দিলে	dI2le2	d i . l E	0	
দিলেই	dI2le2I	d i . l e i	0	
দিলেতো	dI2le2to2	d i . l E . t U	0	
দিলেনে	dI2le2ne2	d i . l E . n E	0	
দিলো	dI2lo2	d i . l u	0	
দিলোগে	dI2lo2ge2	d i . l U . g E	0	
দিহে	dI2he2	d i . h E	0	
দিয়ক	dI2yk	d i . j O k	0	
দিয়কচোন	dI2ykco2n	d i . j O  k  . s U n	0	
দিয়া	dI2yA2	d i . j a	0	
দিয়াই	dI2yA2I	d i . j a i	0	
দিয়াচোন	dI2yA2co2n	d i . j a . s U n	0	
দিয়াৰ	dI2yA2r	d i . j a r	0	
দিয়ে	dI2ye2	d i . j E	0	
দীক্ষা	di2k+s`A2	d i k . K a	0	
দীক্ষাই	di2k+s`A2I	d i k . K a i	0	
দীক্ষাক	di2k+s`A2k	d i k . K a k	0	
দীঘল	di2Gl	d i . G O l	0	
দীপ	di2p	d i p	0	
দীপুৰ	di2pU2r	d i . p u r	0	
দুই	dU2I	d u i	0	
দুই-	dU2I-	d u i	0	
দুইদিনকে	dU2IdI2nke2	d u i . d i n  . k E	0	
দুইবাৰ	dU2IbA2r	d u i . b a r	0	
দুকপি	dU2kpI2	d u . k o . p i	0	
দুখ	dU2K	d u K	0	
দুখন	dU2Kn	d u . K O n	0	
দুখীয়া	dU2Ki2yA2	d u . K i . j a	0	
দুজনী	dU2jni2	d u . z O . n i	0	
দুটা	dU2t`A2	d u . t a	0	
দুটামান	dU2t`A2mA2n	d u . t a . m a n	0	
দুদিন	dU2dI2n	d u . d i n	0	
দুদিনমান	dU2dI2nmA2n	d u . d i  n  . m a n	0	
দুপৰীয়া	dU2pri2yA2	d u . p o . r i . j a	0	
দুপৰীয়াখন	dU2pri2yA2Kn	d u . p o . r i . j a . K O n	0	
দুযোৰ	dU2Yo2r	d U . z U r	0	
দুলাল	dU2lA2l	d u . l a l	0	
দুলালে	dU2lA2le2	d u . l a . l E	0	
দুশ	dU2S	d u . x O	0	
দুয়োকে	dU2yo2ke2	d u . j u . k E	0	
দুয়োকো	dU2yo2ko2	d u . j u . k u	0	
দুৰ	dU2r	d u r	0	
দুৰ্দিন	dU2r+dI2n	d u r . d i n	0	
দুৰ্বল	dU2r+bl	d u r . b O l	0	
দুৱাৰমুখতে	dU2wA2rmU2Kte2	d u . w a . r  #  m u . K O . t E	0	
দুৱৰা	dU2wrA2	d u . w O . r a	0	
দূৰত	du2rt	d u . r O t	0	
দূৰৰ	du2rr	d u . r O r	0	
দে	de2	d E	0	
দেই	de2I	d e i	0	
দেউ	de2U	d e u	0	
দেউতা	de2UtA2	d e u . t a	0	
দেউতাই	de2UtA2I	d e u . t a i	0	
দেউতাক	de2UtA2k	d e u . t a k	0	
দেউতাকহঁতেও	de2UtA2khMte2o	d e u . t a . k . h O ~ t E o	0	
দেউতাৰ	de2UtA2r	d e u . t a r	0	
দেউতাৰাৰ	de2UtA2rA2r	d e u . t a . r a r	0	
দেওবাৰে	de2obA2re2	d E U . b a . r E	0	
দেওশাল	de2oSA2l	d E U . x a l	0	
দেখা	de2KA2	d E . K a	0	
দেখি	de2KI2	d e . K i	0	
দেখিছিলিনে	de2KI2CI2lI2ne2	d e . K i . s i . l i . n E	0	
দেখিছিলো	de2KI2CI2lo2	d e . K i . s i . l u	0	
দেখিছো	de2KI2Co2	d e . K i . s u	0	
দেখিলে	de2KI2le2	d e . K i . l E	0	
দেখিলো	de2KI2lo2	d e . K i . l u	0	
দেখিয়েই	de2KI2ye2I	d e . K i . j e i	0	
দেখুৱাবলৈ	de2KU2wA2ble4	d e . K u . w a . b o . l oi	0	
দেখোন	de2Ko2n	d E . K U n	0	
দেখোৱে	de2Ko2we2	d E . K U . w E	0	
দেচোন	de2co2n	d E . s U n	0	
দেট	de2t`	d e t	0	
দেতাক	de2tA2k	d e . t a k	0	
দেশ	de2S	d e x	0	
দেশপ্ৰেমৰ	de2Sp+re2mr	d e  x  . p r E . m O r	0	
দেশভক্ত	de2SBk+t	d e  x  . B O k . t O	0	
দেৰগাওঁ	de2rgA2oM	d E  r  . g a o ~	0	
দেৰশ	de2rS	d E r . x O	0	
দেৰশটকা	de2rSt`kA2	d E  r  . x O . t O . k a	0	
দেৰি	de2rI2	d e . r i	0	
দেৰিকে	de2rI2ke2	d e . r i . k E	0	
দেৱী	de2wi2	d e . b i	0	
দৈস্যু	de4s+YU2	d oi s . j u	0	
দৈৱকীৰ	de4wki2r	d oi . w o . k i r	0	
দোকান	do2kA2n	d U . k a n	0	
দোকান-পোহাৰ	do2kA2n-po2hA2r	d U . k a . n  # p U . h a r	0	
দোকানত	do2kA2nt	d U . k a . n O t	0	
দোষ্ট	do2s`+t`	d o s t	0	
দৌলশাল	do4lSA2l	d ou . l O . x a l	0	
দ্ৰূত	d+ru2t	d r u .  t O	0	
দৰকাৰ	drkA2r	d O  r  . k a r	0	
দৰমহা	drmhA2	d O  r . m O . h a	0	
দৰা	drA2	d O . r a	0	
দৰে	dre2	d O . r E	0	
দৰৱ	drw	d O . r O b	0	
ধন	Dn	D O n	0	
ধন-সম্পত্তিৰ	Dn-sm+pt+tI2r	D O n # x O m . p O t . t i r	0	
ধনজিত	DnjI2t	D O . n O . z i t	0	
ধনহঁতে	DnhMte2	D O  n  . h O ~ t E	0	
ধনী	Dni2	D O . n i	0	
ধনীৰ	Dni2r	D O . n i r	0	
ধনেশ্ৱৰ	Dne2S+wr	D O . n E s . w O r	0	
ধান	DA2n	D a n	0	
ধীৰে-সুস্থিৰে	Di2re2-sU2s+TI2re2	D i . r E # x u s . T i . r E	0	
ধুই	DU2I	D u i	0	
ধুনীয়াকে	DU2ni2yA2ke2	D u . n i . j a . k E	0	
ধুব	DU2b	D u b O	0	
ধুবানে	DU2bA2ne2	D u . b a . n E	0	
ধুবুৰী	DU2bU2ri2	D u . b u . r i	0	
ধুবুৰীত	DU2bU2ri2t	D u . b u . r i t	0	
ধুম	DU2m	D u m	0	
ধুৰ	DU2r	D u r	0	
ধূসৰ-	Du2sr-	D u . x O r	0	
ধেৎ	De2t2	D e t	0	
ধেৰ	De2r	D e r	0	
ধোৱনী	Do2wni2	D U . w O . n i	0	
ধোৱাৰ	Do2wA2r	D O . w a r	0	
ধ্ৰুৱজ্যোতি	D+rU2wj+Yo2tI2	D r u . b O  . z u . t i	0	
ধৰ	Dr	D O r	0	
ধৰক	Drk	D O . r O k	0	
ধৰা	DrA2	D O . r a	0	
ধৰাই	DrA2I	D O . r a i	0	
ধৰি	DrI2	D o . r i	0	
ধৰিছে	DrI2Ce2	D o . r i . s E	0	
ধৰিছো	DrI2Co2	D o . r i . s u	0	
ধৰিবা	DrI2bA2	D o . r i . b a	0	
ধৰিলো	DrI2le2A2	D o . r i . l u	0	
ধৰিলো	DrI2lo2	D o . r i . l u	0	
ধৰে	Dre2	D O . r E	0	
ন	n	n	0	
ন-	n-	n	0	
ন-খোৱা	n-Ko2wA2	n U # K U . w a	0	
ন-দম্পতীক	n-dm+pti2k	n O # d O m . p o . t i k	0	
নকওঁ	nkoM	n O . k O U ~	0	
নকব	nkb	n o . k o . b O	0	
নকবা	nkbA2	n o . k o . b a	0	
নকবি	nkbI2	n o . k o . b i	0	
নকমে	nkme2	n O . k O . m E	0	
নকয়	nky	n O . k O j	0	
নকৰ	nkr	n O . k O . r O	0	
নকৰা	nkrA2	n O . k O . r a	0	
নকৰাকৈ	nkrA2ke4	n O . k O . r a . k oi	0	
নকৰিম	nkrI2m	n o . k o . r i m	0	
নকৰিলে	nkrI2le2	n o . k o . r i . l E	0	
নকৰিলেও	nkrI2le2o	n o . k o . r i . l e u	0	
নকৰিলো	nkrI2lo2	n o . k o . r i . l u	0	
নকৰে	nkre2	n O . k O . r E	0	
নকৰেচোন	nkre2co2n	n O . k O . r E . s U n	0	
নকৰো	nkro2	n O . k O . r o	0	
নকৰোঁ	nkro2M	n O . k O . r U ~	0	
নগ'-	ng'-	n O g	0	
নগ'লে	ng'le2	n o . g o . l E	0	
নগা	ngA2	n O . g a	0	
নগা-	ngA2-	n O . g a	0	
নগাওঁ	ngA2oM	n O . g a o ~	0	
নগৰখন	ngrKn	n O . g O  r  . K O n	0	
নগৰত	ngrt	n O . g O . r O t	0	
নগৰৰ	ngrr	n O . g O . r O r	0	
নচলে	ncle2	n O . s O . l E	0	
নটসূৰ্যৰ	nt`su2r+Yr	n O . t o . x u i r . z O r	0	
নতুন	ntU2n	n o . t u n	0	
নতুনকে	ntU2nke2	n o . t u  n  . k E	0	
নদীত	ndi2t	n o . d i t	0	
নন্দীতা	nn+di2tA2	n O n . d i . t a	0	
নপৰাকৈ	nprA2ke4	n O . p O . r a . k oi	0	
নব	nb	n O . b O	0	
নবই	nbI	n o . b i	0	
নবেম্বৰ	nbe2m+br	n O . b E m . b O r	0	
নবৌ	nbo4	n o . b ou	0	
নব্বৈ	nb+be4	n o b . b oi	0	
নবৰ	nbr	n O . b O r	0	
নমাই	nmA2I	n O . m a i	0	
নমিতা	nmI2tA2	n O . m i . t a	0	
নম্বৰ	nm+br	n O m . b O r	0	
নম্বৰত	nm+brt	n O m . b O . r O t	0	
নম্বৰতো	nm+brto2	n O m . b O . r O . t U	0	
নলও	nlo	n O . l O U ~	0	
নলবাৰী	nlbA2ri2	n O  l  . b a . r i	0	
নলবাৰীত	nlbA2ri2t	n O  l . b a . r i t	0	
নলয়	nly	n O . l O j	0	
নশ	nS	n O x	0	
নহ'ব	nh'b	n o . h o b O	0	
নহ'লে	nh'le2	n o . h o . l E	0	
নহওঁক	nhoMk	n O . h o ~ w k	0	
নহলি	nhlI2	n O . h o . l i	0	
নহলে	nhle2	n O . h O . l E	0	
নহয়	nhy	n O . h O j	0	
না	nA2	n a	0	
না-	nA2-	n a	0	
নাই	nA2I	n a i	0	
নাইতো	nA2Ito2	n a i . t u	0	
নাইয়ে	nA2Iye2	n a i . j E	0	
নাও	nA2o	n a O	0	
নাকাটিবা	nA2kA2t`I2bA2	n a . k a . t i . b a	0	
নাখাই	nA2KA2I	n a . K a i	0	
নাখালি	nA2KA2lI2	n a . K a . l i	0	
নাচ	nA2c	n a s	0	
নাচাই	nA2cA2I	n a . s a i	0	
নাচাও	nA2cA2o	n a . s a U ~	0	
নাচাওতো	nA2cA2oto2	n a . s a U ~ . t U	0	
নাচৰ	nA2cr	n a . s O r	0	
নাছিবানে	nA2CI2bA2ne2	n a . s i . b a . n E	0	
নাছিল	nA2CI2l	n a . s i l	0	
নাছিলে	nA2CI2le2	n a . s i . l E	0	
নাছিলো	nA2CI2lo2	n a . s i . l U	0	
নাজানো	nA2jA2no2	n a . z a . n U	0	
নাজানোয়ে	nA2jA2no2ye2	n a . z a . n U . j E	0	
নাটক	nA2t`k	n a . t O k	0	
নাটোৰ	nA2t`o2r	n a . t o r	0	
নাট্য	nA2t`+Y	n a i t . j O	0	
নাথাকিব	nA2TA2kI2b	n a . T a . k i . b O	0	
নাথাকিম	nA2TA2kI2m	n a . T a . k i m	0	
নাথাকিলেও	nA2TA2kI2le2o	n a . T a . k i . l e u	0	
নাথাকে	nA2TA2ke2	n a . T a . k E	0	
নাথাকো	nA2TA2ko2	n a . T a . k U	0	
নাথাকোৱেই	nA2TA2ko2we2I	n a . T a . k U . w e i	0	
নানে	nA2ne2	n a . n E	0	
নাপাই	nA2pA2I	n a . p a i	0	
নাপাও	nA2pA2o	n a . p a U ~	0	
নাপাওঁ	nA2pA2oM	n a . p a U ~	0	
নাপাতিবা	nA2pA2tI2bA2	n a . p a . t i . b a	0	
নাপাতো	nA2pA2to2	n a . p a . t o ~	0	
নাপাব	nA2pA2b	n a . p a . b O	0	
নাপালে	nA2pA2le2	n a . p a . l E	0	
নাপালো	nA2pA2lo2	n a . p a . l U	0	
নাপালোঁ	nA2pA2lo2M	n a . p a . l U ~	0	
নাপালোতো	nA2pA2lo2to2	n a . p a . l U . t U	0	
নাপায়	nA2pA2y	n a . p a j	0	
নাপাৱ	nA2pA2w	n a . p a . w O	0	
নাম	nA2m	n a m	0	
নামটো	nA2mt`o2	n a  m  . t U	0	
নামা	nA2mA2	n a . m a	0	
নামাৰিলো	nA2mA2rI2lo2	n a . m a . r i . l u	0	
নামি	nA2mI2	n a . m i	0	
নামিব	nA2mI2b	n a . m i . b O	0	
নাম্বাৰ	nA2m+bA2r	n a m . b a r	0	
নাম্বাৰটোত	nA2m+bA2rt`o2t	n a m . b a  r  . t U t	0	
নাম্বাৰত	nA2m+bA2rt	n a m . b a . r O t	0	
নাম্বাৰতে	nA2m+bA2rte2	n a m . b a . r O . t E	0	
নাযাওঁ	nA2YA2oM	n a . z a U ~	0	
নাযাওঁতো	nA2YA2oMto2	n a . z a U ~ t U	0	
নাযায়	nA2YA2y	n a . z a j	0	
নাযায়চোন	nA2YA2yco2n	n a . z a  j  . s U n	0	
নালাগিব	nA2lA2gI2b	n a . l a . g i . b O	0	
নালাগে	nA2lA2ge2	n a . l a . g E	0	
নালাগেই	nA2lA2ge2I	n a . l a . g e i	0	
নাহ	nA2h	n a h	0	
নাহা	nA2hA2	n a . h a	0	
নাহিছে	nA2hI2Ce2	n a . h i . s E	0	
নাহিলি	nA2hI2lI2	n a . h i . l i	0	
নাহিলে	nA2hI2le2	n a . h i . l E	0	
নাহিলেও	nA2hI2le2o	n a . h i . l e u	0	
নাহে	nA2he2	n a . h E	0	
নাহেই	nA2he2I	n a . h e i	0	
নাহো	nA2ho2	n a . h U	0	
নায়েই	nA2ye2I	n a . j e i	0	
নি	nI2	n i	0	
নিউজ	nI2Uj	n i u z	0	
নিচাত	nI2cA2t	n i . s a t	0	
নিচাদেউ	nI2cA2de2U	n i . s a . d e u	0	
নিচিনা	nI2cI2nA2	n i . s i . n a	0	
নিছিনা	nI2CI2nA2	n i . s i . n a	0	
নিছিলা	nI2CI2lA2	n i . s i . l a	0	
নিজকে	nI2jke2	n i . z O . k E	0	
নিজান	nI2jA2n	n i . z a n	0	
নিজে	nI2je2	n i . z E	0	
নিজেই	nI2je2I	n i . z e i	0	
নিজৰ	nI2jr	n i . z O r	0	
নিট	nI2t`	n i t	0	
নিটখন	nI2t`Kn	n i  t  . K O n	0	
নিদিওঁ	nI2dI2oM	n i . d i o ~	0	
নিদিব	nI2dI2b	n i . d i b O	0	
নিদিবা	nI2dI2bA2	n i . d i . b a	0	
নিদিবি	nI2dI2bI2	n i . d i . b i	0	
নিদিলে	nI2dI2le2	n i . d i . l E	0	
নিদিলেই	nI2dI2le2I	n i . d i . l e i	0	
নিদিলো	nI2dI2lo2	n i . d i . l u	0	
নিদিয়ে	nI2dI2ye2	n i . d i . j E	0	
নিনিলা	nI2nI2lA2	n i . n i . l a	0	
নিবেদন	nI2be2dn	n i . b e . d O n	0	
নিমজকৈ	nI2mjke4	n i . m O  z  . k oi	0	
নিমাহঁত	nI2mA2hMt	n i . m a . h O ~ t	0	
নিলে	nI2le2	n i . l E	0	
নিশা	nI2SA2	n i . x a	0	
নিশাচৰ	nI2SA2cr	n i . x a . s O r	0	
নিশ্চিত	nI2S+cI2t	n i s . s i t	0	
নিসন্দেহে	nI2sn+de2he2	n i . x O n . d E . h E	0	
নিহৰ	nI2hr	n i . h O r	0	
নিয়ত	nI2yt	n i . j O t	0	
নিয়তকে	nI2ytke2	n i . j O . t O . k E	0	
নিৰান্নবৈ	nI2rA2n+nbe4	n i . r a n . n o . b oi	0	
নিৰামিস	nI2rA2mI2s	n i . r a . m i x	0	
নিৰ্ণয়	nI2r+n`y	n i r . n O j	0	
নিৰ্দেশ	nI2r+de2S	n i r . d e x	0	
নিৰ্বান	nI2r+bA2n	n i r . b a n	0	
নিৰ্মানত	nI2r+mA2nt	n i r . m a . n O t	0	
নিৰ্মালি	nI2r+mA2lI2	n i r . m a . l i	0	
নীতি	ni2tI2	n i . t i	0	
নীমা	ni2mA2	n i . m a	0	
নীমাক	ni2mA2k	n i . m a k	0	
নীমাহঁত	ni2mA2hMt	n i . m a . h O ~ t	0	
নীহাৰ	ni2hA2r	n i . h a r	0	
নীহাৰে	ni2hA2re2	n i . h a . r E	0	
নীহাৰো	ni2hA2ro2	n i . h a . r U	0	
নীৰুবাই	ni2rU2bA2I	n i . r u . b a i	0	
নীৰুবাহঁতৰ	ni2rU2bA2hMtr	n i . r u . b a . h O ~ t O r	0	
নীৰৱতাৰ	ni2rwtA2r	n i . r O . b O . t a r	0	
নুঘুৰে	nU2GU2re2	n u . G u . r E	0	
নুঠে	nU2T`e2	n u . T E	0	
নুনমাটি	nU2nmA2t`I2	n u n  . m a . t i	0	
নুনমাটিৰ	nU2nmA2t`I2r	n u  n  . m a . t i r	0	
নুসুধিবি	nU2sU2DI2bI2	n u . x u . D i . b i	0	
নুসুধিলি	nU2sU2DI2lI2	n u . x u . D i . l i	0	
নে	ne2	n E	0	
নে-	ne2-	n E	0	
নেকষ্ট	ne2ks`+t`	n E . k  s t	0	
নেকি	ne2kI2	n e . k i	0	
নেটত	ne2t`t	n E . t O t	0	
নেটৱৰ্কৰ	ne2t`wr+kr	n E  t  . w O r . k O r	0	
নেপাই	ne2pA2I	n E . p a i	0	
নেপাতিলিযে	ne2pA2tI2lI2Ye2	n E . p a . t i . l i . z E	0	
নেপাবই	ne2pA2bI	n E . p a . b i	0	
নেলাগে	ne2lA2ge2	n E . l a . g E	0	
নৈতিকতা	ne4tI2ktA2	n oi . t i . k O . t a	0	
নো	no2	n o	0	
নোকোৱা	no2ko2wA2	n U . k U . w a	0	
নোকোৱাকে	no2ko2wA2ke2	n U . k U . w a . k E	0	
নোখোৱা-নেমেলা	no2Ko2wA2-ne2me2lA2	n U . K U . w a # n E . m E . l a	0	
নোট	no2t`	n o t	0	
নোপোৱা	no2po2wA2	n U . p U . w a	0	
নোম	no2m	n U m	0	
নোযোৱা	no2Yo2wA2	n U . z U . w a	0	
নোলাবি	no2lA2bI2	n U . l a . b i	0	
নোসোধাকে	no2so2DA2ke2	n U . x U . D a . k E	0	
নোহোৱা	no2ho2wA2	n U . h U . w a	0	
নোহোৱাই	no2ho2wA2I	n U . h U . w a i	0	
নোৱাৰ	no2wA2r	n o . w a . r  O	0	
নোৱাৰাকৈ	no2wA2rA2ke4	n o . w a . r a . k oi	0	
নোৱাৰি	no2wA2rI2	n o . w a . r i	0	
নোৱাৰিম	no2wA2rI2m	n o . w a . r i m	0	
নোৱাৰিলি	no2wA2rI2lI2	n o . w a . r i . l i	0	
নোৱাৰিলে	no2wA2rI2le2	n o . w a . r i . l E	0	
নোৱাৰিলো	no2wA2rI2lo2	n o . w a . r i . l u	0	
নোৱাৰে	no2wA2re2	n o . w a . r E	0	
নোৱাৰোঁ	no2wA2ro2M	n o . w a . r o ~	0	
ন্যাসখনত	n+YA2sKnt	n j a x  . K O . n O t	0	
নৱ	nw	n O . b O	0	
নৱই	nwI	n o . b  O  i	0	
প	p	p	0	
প'ষ্ট	p's`+t`	p O s t	0	
পঁচিশ	pMcI2S	p O ~ s i s	0	
পইচা	pIcA2	p O i . s a	0	
পইছাটো	pICA2t`o2	p O i . s a . t U	0	
পইন্ট	pIn+t`	p O i n t	0	
পক্ষৰ	pk+s`r	p O i k . x O r	0	
পখিলা	pKI2lA2	p o . K i . l a	0	
পছন্দ	pCn+d	p O . s O n d	0	
পঞ্চল্লিশ	pJ+cl+lI2S	p O n . s O l . l i s	0	
পঞ্চাছ	pJ+cA2C	p O n . s a s	0	
পঞ্চানব্বৈ	pJ+cA2nb+be4	p O n . s a . n o b . b oi	0	
পঞ্চান্নবৈ	pJ+cA2n+nbe4	p O n . s a n . n o . b oi	0	
পঞ্চাশ	pJ+cA2S	p O n . s a s	0	
পঠাই	pT`A2I	p O . T a i	0	
পঠাইছে	pT`A2ICe2	p O . T a i . s E	0	
পঠিয়াইছিল	pT`I2yA2ICI2l	p o . T i . j a i . s i l	0	
পতা	ptA2	p O . t a	0	
পথ	pT	p O T	0	
পথছোৱা	pTCo2wA2	p O T  . s o . w a	0	
পথছোৱাৰ	pTCo2wA2r	p O  T  . s o . w a r	0	
পদক্ষেপ	pdk+s`e2p	p O . d O k . K e p	0	
পদৰ	pdr	p O . d O r	0	
পন্দ	pn+d	p O n . d O	0	
পবিত্ৰ	pbI2t+r	p o . b i t .  r O	0	
পলাশবাৰীত	plA2SbA2ri2t	p O . l a x  . b a . r i t	0	
পলাশবাৰীৰপৰাই	plA2SbA2ri2rprA2I	p O . l a x  . b a . r i  r  . p O . r a i	0	
পা-	pA2-	p a	0	
পাঁচ	pA2Mc	p a ~ s	0	
পাঁচটা	pA2Mct`A2	p a ~ s  . t a	0	
পাঁচমিনিট	pA2McmI2nI2t`	p a ~ s  . m i . n i t	0	
পাই	pA2I	p a i	0	
পাইছ	pA2IC	p a i . s O	0	
পাইছনে	pA2ICne2	p a i . s O . n E	0	
পাইছা	pA2ICA2	p a i . s a	0	
পাইছানে	pA2ICA2ne2	p a i . s a . n E	0	
পাইছিলো	pA2ICI2lo2	p a i . s i . l u	0	
পাইছে	pA2ICe2	p a i . s E	0	
পাইছেনে	pA2ICe2ne2	p a i . s E . n E	0	
পাইছো	pA2ICe2A2	p a i . s u	0	
পাইছো	pA2ICo2	p a i . s u	0	
পাইছোদেই	pA2ICo2de2I	p a i . s u . d e i	0	
পাইছোৱেই	pA2ICo2we2I	p a i . s u . w e i	0	
পাউডাৰ	pA2Ud`A2r	p a u . d a r	0	
পাওঁ	pA2oM	p a U ~	0	
পাওঁনে	pA2oMne2	p a U ~ n E	0	
পাক	pA2k	p a k	0	
পাগল	pA2gl	p a . g O l	0	
পাচ	pA2c	p a s	0	
পাছ	pA2C	p a s	0	
পাছত	pA2Ct	p a . s O t	0	
পাছৰপৰা	pA2CrprA2	p a . s O  r  . p O . r a	0	
পাছৰেপৰা	pA2Cre2prA2	p a . s O  r  . p O . r a	0	
পাটোৱাৰী	pA2t`o2wA2ri2	p a . t o . w a . r i	0	
পাটোৱাৰীৰ	pA2t`o2wA2ri2r	p a . t o . w a . r i r	0	
পাত	pA2t	p a t	0	
পাত-	pA2t-	p a t	0	
পাতকচোন	pA2tkco2n	p a t  . O k . s U n	0	
পাতা	pA2tA2	p a . t a	0	
পাতি	pA2tI2	p a . t i	0	
পাতিছিল	pA2tI2CI2l	p a . t i . s i l	0	
পাতিছে	pA2tI2Ce2	p a . t i . s E	0	
পাতিছো	pA2tI2Co2	p a . t i . s u	0	
পাতিব	pA2tI2b	p a . t i b O	0	
পাতিবলে	pA2tI2ble2	p a . t i . b O . l E	0	
পাতিবলৈ	pA2tI2ble4	p a . t i . b o . l oi	0	
পাতিম	pA2tI2m	p a . t i m	0	
পাতিলেহেঁতেন	pA2tI2le2he2Mte2n	p a . t i . l E . h E ~ t E n	0	
পাতিলো	pA2tI2lo2	p a . t i . l u	0	
পাতে	pA2te2	p a . t E	0	
পাতো	pA2to2	p a . t U	0	
পানী	pA2ni2	p a . n i	0	
পাব	pA2b	p a . b O	0	
পাবলৈ	pA2ble4	p a . b o . l oi	0	
পাবা	pA2bA2	p a . b a	0	
পাবাগে	pA2bA2ge2	p a . b a . g e	0	
পাবি	pA2bI2	p a . b i	0	
পাম	pA2m	p a m	0	
পামেই	pA2me2I	p a . m e i	0	
পালি	pA2lI2	p a . l i	0	
পালে	pA2le2	p a . l E	0	
পালেও	pA2le2o	p a . l e u	0	
পালেতো	pA2le2to2	p a . l E . t U	0	
পালেনে	pA2le2ne2	p a . l E . n E	0	
পালেহি	pA2le2hI2	p a . l e . h i	0	
পালো	pA2lo2	p a . l U	0	
পাহৰি	pA2hrI2	p a . h o . r i	0	
পাহৰি-	pA2hrI2-	p a . h o . r i	0	
পায়	pA2y	p a j	0	
পায়ে	pA2ye2	p a . j E	0	
পাৰ	pA2r	p a r  / p a . r O  	0	
পাৰটো	pA2rt`o2	p a  r  . t U / p a . r O . t U	0	
পাৰফেক্ট	pA2rPe2k+t`	p a r  . P E k t	0	
পাৰা	pA2rA2	p a . r a	0	
পাৰি	pA2rI2	p a . r i	0	
পাৰিব	pA2rI2b	p a . r i . b O	0	
পাৰিবা	pA2rI2bA2	p a . r i . b a	0	
পাৰিবি	pA2rI2bI2	p a . r i . b i	0	
পাৰিবিনে	pA2rI2bI2ne2	p a . r i . b i . n E	0	
পাৰিলা	pA2rI2lA2	p a . r i . l a	0	
পাৰিলি	pA2rI2lI2	p a . r i . l i	0	
পাৰিলে	pA2rI2le2	p a . r i . l E	0	
পাৰিলেহেঁতেন	pA2rI2le2he2Mte2n	p a . r i . l E . h E ~ t E n	0	
পাৰে	pA2re2	p a . r E	0	
পাৰো	pA2re2A2	p a . r U	0	
পাৰো	pA2ro2	p a . r U	0	
পাৰ্ট	pA2r+t`	p a r t	0	
পাৰ্টি	pA2r+t`I2	p a r . t i	0	
পাৰ্মেনেন্টকে	pA2r+me2ne2n+t`ke2	p a r . m E . n E n  t  . k E	0	
পাৰৰ	pA2rr	p a . r O r	0	
পাৱাৰ	pA2wA2r	p a . w a r	0	
পি	pI2	p i	0	
পিংকি	pI2WkI2	p i N . k i	0	
পিকুৱে	pI2kU2we2	p i . k u . w E	0	
পিঙ্কু	pI2N+kU2	p i N . k u	0	
